Date,Open,High,Low,Close,Adj Close,Volume
2020-12-03,189.320007,190.300003,189.020004,189.610001,179.260361,4408600
2020-12-04,190.000000,191.509995,189.990005,191.509995,181.056641,4401400
2020-12-07,191.300003,191.500000,190.619995,191.300003,180.858139,4319700
2020-12-08,190.639999,192.389999,190.600006,192.130005,181.642807,3449000
2020-12-09,192.539993,192.639999,189.509995,190.240005,179.855988,4470500
2020-12-10,189.330002,190.910004,188.710007,190.520004,180.120697,3223500
2020-12-11,189.559998,190.369995,188.600006,190.179993,179.799255,3463000
2020-12-14,191.690002,192.190002,189.580002,189.639999,179.288773,3530500
2020-12-15,191.190002,192.270004,190.380005,192.240005,181.746857,3226100
2020-12-16,192.470001,192.990005,191.889999,192.509995,182.002060,2983900
2020-12-17,193.419998,194.020004,193.210007,194.020004,183.429611,4132800
2020-12-18,194.380005,194.470001,192.210007,193.470001,182.909668,4542100
2020-12-21,191.600006,193.350006,189.820007,192.910004,182.380264,5011900
2020-12-22,193.309998,193.479996,192.210007,192.949997,182.418076,4336000
2020-12-23,193.649994,194.220001,193.160004,193.279999,182.730087,3451400
2020-12-24,192.880005,193.000000,192.240005,192.820007,183.035675,1744000
2020-12-28,194.589996,194.600006,193.800003,194.039993,184.193802,3780500
2020-12-29,194.860001,194.949997,192.820007,193.229996,183.424881,4606200
2020-12-30,193.899994,194.380005,193.610001,193.750000,183.918518,4314000
2020-12-31,193.750000,194.869995,193.250000,194.639999,184.763336,3746400
2021-01-04,195.389999,195.429993,189.759995,191.869995,182.133896,8825800
2021-01-05,191.490005,193.949997,191.419998,193.419998,183.605270,3894000
2021-01-06,192.500000,196.889999,192.460007,195.160004,185.256958,6175700
2021-01-07,196.419998,198.619995,196.399994,198.289993,188.228149,4830900
2021-01-08,199.139999,199.460007,196.979996,199.250000,189.139420,7538700
2021-01-11,197.419998,199.059998,197.220001,198.059998,188.009842,3858600
2021-01-12,198.369995,198.990005,197.339996,198.759995,188.674286,3874100
2021-01-13,198.729996,199.580002,198.050003,198.979996,188.883118,3465800
2021-01-14,199.550003,200.029999,198.520004,198.789993,188.702759,4289000
2021-01-15,197.960007,198.250000,195.979996,197.059998,187.060547,3444800
2021-01-19,198.660004,199.039993,197.830002,198.860001,188.769211,4153700
2021-01-20,200.080002,201.759995,199.970001,201.369995,191.151840,5224900
2021-01-21,201.850006,202.000000,200.779999,201.220001,191.009460,2960600
2021-01-22,200.259995,201.309998,199.960007,200.889999,190.696198,3045900
2021-01-25,201.270004,201.949997,198.350006,201.460007,191.237274,5323200
2021-01-26,201.889999,202.339996,200.679993,200.729996,190.544327,4046900
2021-01-27,199.050003,199.080002,194.649994,195.910004,185.968903,6727700
2021-01-28,196.839996,199.679993,196.740005,197.449997,187.430771,5310100
